,0
0,Assam
1,Chhattisgarh
2,Himachal Pradesh
3,Karnataka
4,Madhya Pradesh
5,Manipur
6,Mizoram
7,Punjab
8,Tamil Nadu
9,Telangana
10,Tripura
11,West Bengal
